,time,link
80,,https://www.loksatta.com/sampadkiya/columns/political-news-in-delhi-political-events-in-delhi-political-drama-in-delhi-zws-70-3059814/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
81,,https://www.loksatta.com/sampadkiya/columns/p-chidambaram-article-targeting-fm-nirmala-sitharaman-over-inflation-zws-70-3059813/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
82,,https://www.loksatta.com/sampadkiya/features/bjp-dynasty-politics-dynasticism-in-bjp-dynastic-politics-in-bjp-zws-70-3059872/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
83,,https://www.loksatta.com/sampadkiya/folk-play-about-our-economic-policy-asj-82-3058716/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
84,,https://www.loksatta.com/sampadkiya/america-justice-with-encounter-asj-82-3058704/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
85,"July 10, 2022 1:05 am",https://www.loksatta.com/lokrang/french-artist-marc-chagall-famous-artworks-marc-chagall-famous-paintings-zws-70-3012826/
86,"July 10, 2022 1:04 am",https://www.loksatta.com/lokrang/article-about-story-writer-ga-kulkarni-painting-on-occasion-of-birth-centenary-zws-70-3012825/
87,"July 10, 2022 1:03 am",https://www.loksatta.com/lokrang/prabodhankar-keshav-sitaram-thackeray-contribution-in-marathi-drama-zws-70-3012693/
88,"July 3, 2022 1:10 am",https://www.loksatta.com/lokrang/plastic-recycling-central-pollution-control-board-ban-on-single-use-plastic-products-zws-70-3001409/
89,"July 3, 2022 1:09 am",https://www.loksatta.com/lokrang/conversation-with-sahitya-akademi-award-winner-writer-shankta-gokhale-zws-70-3001378/
90,"July 3, 2022 1:08 am",https://www.loksatta.com/lokrang/museum-in-paris-monet-museum-muse-marmottan-monet-zws-70-3001377/
91,"July 3, 2022 1:06 am",https://www.loksatta.com/lokrang/loksatta-readers-reaction-on-lokrang-article-zws-70-6-3001376/
92,"July 3, 2022 1:05 am",https://www.loksatta.com/lokrang/article-about-legendary-artist-raghuvir-shankar-mulgaonkar-zws-70-3001307/
93,"July 3, 2022 1:02 am",https://www.loksatta.com/lokrang/book-review-ayodhya-te-varanasi-book-by-senior-journalist-prakash-akolkar-zws-70-3001284/
94,"July 3, 2022 1:01 am",https://www.loksatta.com/lokrang/book-review-madhumeh-ek-god-avhan-book-by-author-dr-satish-naik-zws-70-3001282/
95,"June 26, 2022 1:15 am",https://www.loksatta.com/lokrang/maharashtra-politics-crisis-hindutva-and-secularism-in-maharashtra-politics-zws-70-2990587/
96,"June 26, 2022 1:13 am",https://www.loksatta.com/lokrang/pandharpur-wari-pilgrimage-ashadhi-wari-2022-pandharpur-yatra-2022-zws-70-2990586/
97,,https://www.loksatta.com/maharashtra/woman-arrested-by-police-murder-case-investigation-police-custody-ysh-95-3064774/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
98,,https://www.loksatta.com/lifestyle/the-hartalika-fast-before-ganeshotsav-has-a-unique-significance-pvp-97-3064731/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
99,,https://www.loksatta.com/manoranjan/taapsee-pannu-and-anurag-kashyap-appeal-fans-to-boycott-do-dobaaraa-know-why-mrj-95-3064721/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
100,,https://www.loksatta.com/desh-videsh/nitish-kumar-stakes-claim-to-form-new-govt-with-rjd-and-seven-parties-formed-mahagathbandhan-prd-96-3064691/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
101,,https://www.loksatta.com/pune/record-of-yashwantrao-mohite-college-campaign-in-asia-and-india-book-of-records-pune-print-news-amy-95-3064531/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
102,11 hours ago,https://www.loksatta.com/photos/sports-gallery/3063858/pv-sindhu-to-achanta-sharath-kamal-these-indians-won-multiple-medals-at-cwg-2022-vkk-95/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
103,12 hours ago,https://www.loksatta.com/photos/lifestyle-gallery/3063641/get-special-fashion-tips-from-bollywood-celebrities-for-raksha-bandhan-2022-pvp-97/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
104,14 hours ago,https://www.loksatta.com/photos/news/3063413/maharashtra-cabinet-minister-expansion-cm-eknath-shinde-devendra-fadnavis-bjp-shivsena-mantrimandal-vistar-photo-sdn-96/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
105,,https://www.loksatta.com/sampadkiya/columns/vyaktivedh-mahendrabhai-meghani-gandhian-activists-media-linguist-ysh-95-3058365/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
106,,https://www.loksatta.com/sampadkiya/columns/van-jan-man-extreme-backwardness-politics-status-tribals-representatives-ysh-95-3058378/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
107,,https://www.loksatta.com/sampadkiya/editorial/pawari-language-globalization-internet-linguistic-politics-language-ysh-95-3058377/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
